Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launchoutcome,Date,Time,Version Booster,Launch outcome,Booster landing
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,,4 June 2010,18:45,F9 v1.07B0003.18,"Success
",Failure
2,CCAFS,Dragon,0,LEO,NASA,,8 December 2010,15:43,F9 v1.07B0004.18,Success,Failure
3,CCAFS,Dragon,525kg,LEO,NASA,,22 May 2012,07:44,F9 v1.07B0005.18,Success,No attempt
4,CCAFS,SpaceX CRS-1,"4,700kg",LEO,NASA,,8 October 2012,00:35,F9 v1.07B0006.18,"Success
",No attempt
5,CCAFS,SpaceX CRS-2,"4,877kg",LEO,NASA,,1 March 2013,15:10,F9 v1.07B0007.18,"Success
",No attempt
6,VAFB,CASSIOPE,500kg,Polar orbit,MDA,,29 September 2013,16:00,F9 v1.17B10038,Success,Uncontrolled
7,CCAFS,SES-8,"3,170kg",GTO,SES,,3 December 2013,22:41,F9 v1.1,Success,No attempt
8,CCAFS,Thaicom 6,"3,325kg",GTO,Thaicom,,6 January 2014,22:06,F9 v1.1,Success,No attempt
9,Cape Canaveral,SpaceX CRS-3,"2,296kg",LEO,NASA,,18 April 2014,19:25,F9 v1.1,"Success
",Controlled
10,Cape Canaveral,Orbcomm-OG2,"1,316kg",LEO,Orbcomm,,14 July 2014,15:15,F9 v1.1,Success,Controlled
11,Cape Canaveral,AsiaSat 8,"4,535kg",GTO,AsiaSat,,5 August 2014,08:00,F9 v1.1,Success,No attempt
12,Cape Canaveral,AsiaSat 6,"4,428kg",GTO,AsiaSat,,7 September 2014,05:00,F9 v1.1[,Success,No attempt
13,Cape Canaveral,SpaceX CRS-4,"2,216kg",LEO,NASA,,21 September 2014,05:52,F9 v1.1[,Success,Uncontrolled
14,Cape Canaveral,SpaceX CRS-5,"2,395kg",LEO,NASA,,10 January 2015,09:47,F9 v1.1[,Success,Failure
15,Cape Canaveral,DSCOVR,570kg,HEO,USAF,,11 February 2015,23:03,F9 v1.1[,"Success
",Controlled
16,Cape Canaveral,ABS-3A,"4,159kg",GTO,ABS,,2 March 2015,03:50,F9 v1.1[,"Success
",No attempt
17,Cape Canaveral,SpaceX CRS-6,"1,898kg",LEO,NASA,,14 April 2015,20:10,F9 v1.1[,"Success
",Failure
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707kg",GTO,,,27 April 2015,23:03,F9 v1.1[,"Success
",No attempt
19,Cape Canaveral,SpaceX CRS-7,"1,952kg",LEO,NASA,,28 June 2015,14:21,F9 v1.1[,Failure,Precluded
20,Cape Canaveral,Orbcomm-OG2,"2,034kg",LEO,Orbcomm,,22 December 2015,01:29,F9 FT[,"Success
",Success
21,VAFB,Jason-3,553kg,LEO,NASA,,17 January 2016,18:42,F9 v1.1[,"Success
",Failure
22,Cape Canaveral,SES-9,"5,271kg",GTO,SES,,4 March 2016,23:35,F9 FT[,"Success
",Failure
23,Cape Canaveral,SpaceX CRS-8,"3,136kg",LEO,NASA,,8 April 2016,20:43,F9 FT[,Success,Success
24,Cape Canaveral,JCSAT-14,"4,696kg",GTO,SKY Perfect JSAT Group,,6 May 2016,05:21,F9 FT[,"Success
",Success
25,Cape Canaveral,Thaicom 8,"3,100kg",GTO,Thaicom,,27 May 2016,21:39,F9 FT[,"Success
",Success
26,Cape Canaveral,ABS-2A,"3,600kg",GTO,ABS,,15 June 2016,14:29,F9 FT[,"Success
",Failure
27,Cape Canaveral,SpaceX CRS-9,"2,257kg",LEO,NASA,,18 July 2016,04:45,F9 FT[,"Success
",Success
28,Cape Canaveral,JCSAT-16,"4,600kg",GTO,SKY Perfect JSAT Group,,14 August 2016,05:26,F9 FT[,"Success
",Success
